# Time-averaged data for fix stress_ave
# TimeStep v_strain_z v_strain_x v_strain_y v_stress_z
240000 0.0117275 -0.0100349 0.00486533 24.1385
241000 0.0117775 -0.0084085 0.00206496 -13.9158
242000 0.0118275 -0.0106298 0.00567801 15.8787
243000 0.0118775 -0.0083867 0.00410826 0.80301
244000 0.0119275 -0.00853855 0.00315125 6.55268
245000 0.0119775 -0.0102888 0.00503389 -19.902
246000 0.0120275 -0.00770684 0.00459854 15.2619
247000 0.0120775 -0.00522006 0.000315093 26.5098
248000 0.0121275 -0.0115239 0.0066052 8.86639
249000 0.0121775 -0.0104702 0.00627177 15.8412
250000 0.0122275 -0.00387746 -0.00132867 -45.3678
251000 0.0122775 -0.00717185 0.00427778 -3.14443
252000 0.0123275 -0.0109868 0.00611546 2.19436
253000 0.0123775 -0.0094314 0.00299975 -34.5536
254000 0.0124275 -0.00994953 0.00529098 20.352
255000 0.0124775 -0.00356923 -0.000278826 -1.34854
256000 0.0125275 -0.0085595 0.00376143 -14.3959
257000 0.0125775 -0.00926063 0.00584197 50.5779
258000 0.0126275 -0.00510873 0.00272091 -8.42911
259000 0.0126775 -0.0103959 0.00567139 -29.3894
260000 0.0127275 -0.00841158 0.00734527 28.8526
261000 0.0127775 -0.00662402 0.00405192 -20.0816
262000 0.0128275 -0.00356296 0.00185409 18.2752
263000 0.0128775 -0.00812062 0.0050912 0.664805
264000 0.0129275 -0.00747974 0.00729708 -51.5584
265000 0.0129775 -0.00676556 0.00378726 -3.01596
266000 0.0130275 -0.00680055 0.00462398 -5.6274
267000 0.0130775 -0.00733573 0.00336135 -30.9853
268000 0.0131275 -0.00432637 -0.000353015 -23.1844
269000 0.0131775 -0.00963116 0.00580724 4.91701
270000 0.0132275 -0.00803023 0.00147138 42.7645
271000 0.0132775 -0.0092944 0.00288765 5.05282
272000 0.0133275 -0.00701505 0.00296643 -49.7288
273000 0.0133775 -0.00675295 0.0027624 28.3474
274000 0.0134275 -0.00545923 0.00166767 -8.90166
275000 0.0134775 -0.0051914 0.0030969 -11.3207
276000 0.0135275 -0.00918505 0.00214359 -24.3216
277000 0.0135775 -0.00543179 0.00334744 50.3359
278000 0.0136275 -0.00880093 0.00243634 -39.8632
279000 0.0136775 -0.00873728 0.000946566 34.7302
280000 0.0137275 -0.00813265 0.00636343 14.001
281000 0.0137775 -0.00747624 0.00249487 -16.5864
282000 0.0138275 -0.00519492 -0.000499914 15.5413
283000 0.0138775 -0.00430298 0.0014875 2.58104
284000 0.0139275 -0.0072193 0.000917884 7.64383
285000 0.0139775 -0.0109073 0.00696388 -0.470004
286000 0.0140275 -0.00867463 0.00255425 -12.2783
287000 0.0140775 -0.0070629 0.00208595 -18.2003
288000 0.0141275 -0.00774972 0.00107047 5.70536
289000 0.0141775 -0.00862402 0.00285782 49.7166
290000 0.0142275 -0.0108616 0.00294386 16.9802
291000 0.0142775 -0.0116324 0.00499378 -15.9005
292000 0.0143275 -0.0123922 0.00720342 -19.3786
293000 0.0143775 -0.00573883 -0.00124979 -22.3226
294000 0.0144275 -0.00647151 0.00273778 -14.4841
295000 0.0144775 -0.0128711 0.00716911 10.8317
296000 0.0145275 -0.00804792 0.0021649 5.08619
297000 0.0145775 -0.00680113 0.00397026 4.8823
298000 0.0146275 -0.008167 0.00277116 23.3134
299000 0.0146775 -0.00919305 0.00362116 19.0397
300000 0.0147275 -0.00716417 0.00135866 39.4463
301000 0.0147775 -0.00751807 0.00410832 17.7367
302000 0.0148275 -0.0103082 0.00505407 10.7212
303000 0.0148775 -0.0111337 0.00500139 -7.19296
304000 0.0149275 -0.0103341 0.00266662 14.5829
305000 0.0149775 -0.0112863 0.00385338 34.8818
306000 0.0150275 -0.0112289 0.00603915 2.5245
307000 0.0150775 -0.00443167 0.000742571 4.86878
308000 0.0151275 -0.0103455 0.00389645 72.2029
309000 0.0151775 -0.0143933 0.00689099 1.08789
310000 0.0152275 -0.00857805 0.00302404 -0.838192
311000 0.0152775 -0.00971634 0.00400339 14.5144
312000 0.0153275 -0.00674077 0.00290817 48.5247
313000 0.0153775 -0.012659 0.00435177 -18.2037
314000 0.0154275 -0.00886612 0.00214965 -21.0625
315000 0.0154775 -0.00810094 0.000779407 52.8823
316000 0.0155275 -0.00547512 -1.26143e-05 14.1887
317000 0.0155775 -0.00894925 0.00173829 30.4867
318000 0.0156275 -0.00559118 0.00265739 7.11413
319000 0.0156775 -0.00967197 0.00194518 -6.00878
320000 0.0157275 -0.011634 0.0043438 5.38839
321000 0.0157775 -0.00884135 0.00379586 59.2854
322000 0.0158275 -0.0108021 0.00333651 41.7736
323000 0.0158775 -0.00828645 0.00127578 30.2545
324000 0.0159275 -0.00905005 0.00106564 42.6464
325000 0.0159775 -0.00692427 -9.35489e-05 2.43809
326000 0.0160275 -0.00851224 0.00278519 44.9912
327000 0.0160775 -0.0131065 0.00517882 6.26855
328000 0.0161275 -0.010197 0.00517749 40.7876
329000 0.0161775 -0.00816459 -0.00105793 29.6634
330000 0.0162275 -0.00895671 0.00194225 57.4636
331000 0.0162775 -0.0115483 0.00403324 21.3792
332000 0.0163275 -0.00740633 0.00276857 -1.28948
333000 0.0163775 -0.0120912 0.00632404 -5.92434
334000 0.0164275 -0.00898788 0.00405912 28.633
335000 0.0164775 -0.00787853 0.000182526 23.0061
336000 0.0165275 -0.00745268 0.000205782 18.9603
337000 0.0165775 -0.0103711 0.00205816 31.1425
338000 0.0166275 -0.00999884 0.00292203 48.4819
339000 0.0166775 -0.0107827 0.00397195 -5.98678
340000 0.0167275 -0.00627911 -0.000364183 56.6647
341000 0.0167775 -0.0101928 0.00238343 -22.863
342000 0.0168275 -0.00873559 -0.000112649 38.0578
343000 0.0168775 -0.0114619 0.00228756 42.1181
344000 0.0169275 -0.0120014 0.00582102 -15.4561
345000 0.0169775 -0.00968467 -0.000830222 21.6109
346000 0.0170275 -0.0113289 0.00330695 -1.58884
347000 0.0170775 -0.00999984 0.00232838 8.15559
348000 0.0171275 -0.00749773 -0.00131312 22.9899
349000 0.0171775 -0.0127292 0.00295388 13.5881
350000 0.0172275 -0.0123656 0.00152517 31.5329
351000 0.0172775 -0.00859053 0.000650203 -9.54565
352000 0.0173275 -0.0127767 0.00570683 1.56779
353000 0.0173775 -0.0132245 0.00391277 -0.875311
354000 0.0174275 -0.00819818 0.00190305 100.396
355000 0.0174775 -0.00786558 -0.000392299 -29.872
356000 0.0175275 -0.0109696 0.00177155 -47.6961
357000 0.0175775 -0.0101289 0.00232324 59.0311
358000 0.0176275 -0.00976728 0.000463376 17.926
359000 0.0176775 -0.00773931 0.00101179 33.8441
360000 0.0177275 -0.0108365 0.00390178 -6.03322
361000 0.0177775 -0.00802134 -0.00011676 4.06866
362000 0.0178275 -0.0113173 0.000647958 -9.92781
363000 0.0178775 -0.00636591 -0.00319553 32.3627
364000 0.0179275 -0.00933326 0.000383702 0.968484
365000 0.0179775 -0.0109288 0.00312294 -26.1473
366000 0.0180275 -0.0127342 0.00502592 5.55848
367000 0.0180775 -0.0128859 0.00386924 42.1161
368000 0.0181275 -0.00729818 0.000498045 5.18071
369000 0.0181775 -0.00674264 -0.00267361 39.2401
370000 0.0182275 -0.0130999 0.00394616 68.2114
371000 0.0182775 -0.0133856 0.00295939 -29.9616
372000 0.0183275 -0.00982561 0.00248799 19.3348
373000 0.0183775 -0.0105438 0.000972757 12.9036
374000 0.0184275 -0.00868963 -0.000699909 75.5116
375000 0.0184775 -0.0107268 0.00339476 39.9055
376000 0.0185275 -0.0082402 0.000585569 47.9134
377000 0.0185775 -0.0126183 0.004034 12.014
378000 0.0186275 -0.0102488 0.000679327 26.719
379000 0.0186775 -0.0101218 -0.000448184 17.2977
380000 0.0187275 -0.0116921 0.0038159 31.3648
381000 0.0187775 -0.0118143 0.00220008 72.662
382000 0.0188275 -0.00865725 0.000396029 28.9996
383000 0.0188775 -0.0108516 0.000487036 0.0533334
384000 0.0189275 -0.0099778 0.00116827 50.9836
385000 0.0189775 -0.00938843 7.85207e-05 6.75119
386000 0.0190275 -0.00805265 0.00187477 39.2629
387000 0.0190775 -0.0097038 -0.000937276 5.90123
388000 0.0191275 -0.00952634 0.00137378 -20.392
389000 0.0191775 -0.0118472 0.00156539 -0.925613
390000 0.0192275 -0.0116427 0.00469228 67.4743
391000 0.0192775 -0.00849879 -0.00202951 38.6198
392000 0.0193275 -0.0103722 0.000485293 -44.129
393000 0.0193775 -0.0123469 0.000268198 3.12544
394000 0.0194275 -0.00700042 -0.00188135 31.9216
395000 0.0194775 -0.00574139 -0.00151685 16.6401
396000 0.0195275 -0.0107601 0.00105358 7.08368
397000 0.0195775 -0.0100381 -0.0023517 54.7208
398000 0.0196275 -0.0132316 0.00231733 0.594311
399000 0.0196775 -0.0110212 -0.000831267 35.0508
400000 0.0197275 -0.0102637 0.00168823 19.0532
401000 0.0197775 -0.00956142 0.00112343 24.7923
402000 0.0198275 -0.010383 -0.000313944 25.9654
403000 0.0198775 -0.00907599 -0.000425428 58.2837
404000 0.0199275 -0.010555 0.000255679 15.1622
405000 0.0199775 -0.00803732 -0.00260499 21.5936
406000 0.0200275 -0.0115287 0.00156971 38.9161
407000 0.0200775 -0.0101273 0.00146478 18.5961
408000 0.0201275 -0.0114218 -0.000225257 23.945
409000 0.0201775 -0.0162768 0.00451665 15.9701
410000 0.0202275 -0.012272 0.00083694 51.3924
411000 0.0202775 -0.00961708 -0.00173135 28.4598
412000 0.0203275 -0.0110962 -0.00291584 -8.16001
413000 0.0203775 -0.0112925 0.00178758 50.1546
414000 0.0204275 -0.0109957 0.000109468 -7.46
415000 0.0204775 -0.00791422 -0.00230096 38.5186
416000 0.0205275 -0.011237 0.00256965 1.00326
417000 0.0205775 -0.0125083 0.00405512 66.6751
418000 0.0206275 -0.00981294 0.000946494 10.5537
419000 0.0206775 -0.01557 0.00405161 11.0586
420000 0.0207275 -0.00927361 0.000843888 16.4775
421000 0.0207775 -0.0079969 -0.000961745 60.8367
422000 0.0208275 -0.0107686 0.000223042 -9.14384
423000 0.0208775 -0.0130906 0.00201656 10.8757
424000 0.0209275 -0.010304 -0.00032253 -33.4831
425000 0.0209775 -0.00788353 -0.00211675 44.7482
426000 0.0210275 -0.0119176 0.0012456 17.9357
427000 0.0210775 -0.0115497 0.00334194 25.3708
428000 0.0211275 -0.010249 0.00063673 67.0845
429000 0.0211775 -0.0121775 0.00137551 7.20198
430000 0.0212275 -0.00875255 -0.00288369 29.3171
431000 0.0212775 -0.0114984 -0.000956742 52.445
432000 0.0213275 -0.009624 -0.00211824 6.69447
433000 0.0213775 -0.0121052 0.00211017 23.1933
434000 0.0214275 -0.0157931 0.00140591 66.8365
435000 0.0214775 -0.00860046 -0.000123787 48.7756
436000 0.0215275 -0.0126953 0.00197695 9.32689
437000 0.0215775 -0.0109276 -0.000760806 39.4038
438000 0.0216275 -0.0105389 -0.000725767 27.8336
439000 0.0216775 -0.0102543 -0.00114417 2.1851
440000 0.0217275 -0.00923228 7.15363e-05 -6.4124
441000 0.0217775 -0.0124256 0.00209547 23.4598
442000 0.0218275 -0.0109871 0.0016938 35.8932
443000 0.0218775 -0.0123674 0.00195961 11.7223
444000 0.0219275 -0.0104111 -0.00208751 55.5782
445000 0.0219775 -0.0114025 -0.0020016 -15.5331
446000 0.0220275 -0.0135113 0.00194529 20.442
447000 0.0220775 -0.0102453 -0.00202328 42.0679
448000 0.0221275 -0.0139575 0.00226324 17.5842
449000 0.0221775 -0.0113529 -0.000887052 36.0405
450000 0.0222275 -0.0141517 -0.00171854 -7.74021
451000 0.0222775 -0.00821303 -0.00643175 14.3938
452000 0.0223275 -0.0125509 0.00202294 42.4446
453000 0.0223775 -0.0137482 0.0023355 49.8102
454000 0.0224275 -0.010602 -0.00231241 -8.62241
455000 0.0224775 -0.0142783 0.00500953 56.0042
456000 0.0225275 -0.0138165 0.00203124 3.2968
457000 0.0225775 -0.00804257 -6.57573e-05 -5.00404
458000 0.0226275 -0.0098639 -0.00121396 -0.0234322
459000 0.0226775 -0.00968519 -0.00211904 16.3638
460000 0.0227275 -0.0131095 0.00589147 59.0443
461000 0.0227775 -0.0114164 0.000950726 27.3256
462000 0.0228275 -0.00928138 -0.000622885 42.393
463000 0.0228775 -0.0141933 0.00382868 13.8469
464000 0.0229275 -0.0123856 0.00146546 12.8644
465000 0.0229775 -0.0125654 0.00376996 -10.7701
466000 0.0230275 -0.0159354 0.0040247 72.0273
467000 0.0230775 -0.011736 0.0024495 17.9886
468000 0.0231275 -0.0127422 0.00158757 44.0581
469000 0.0231775 -0.0164311 0.00319153 15.1652
470000 0.0232275 -0.00894615 8.69455e-05 46.2209
471000 0.0232775 -0.0124835 0.0050684 64.9939
472000 0.0233275 -0.0105572 0.000955222 63.3542
473000 0.0233775 -0.0081241 -0.00471526 -3.55983
474000 0.0234275 -0.0109145 0.00131868 49.1438
475000 0.0234775 -0.00854162 -0.00177484 37.3842
476000 0.0235275 -0.00867722 0.000580903 94.2135
477000 0.0235775 -0.0102731 -0.0013513 18.0659
478000 0.0236275 -0.00962153 -0.00206833 15.5244
479000 0.0236775 -0.0104209 -0.00164146 41.812
480000 0.0237275 -0.0127125 -0.00218658 39.061
481000 0.0237775 -0.0119257 -0.000355119 28.9949
482000 0.0238275 -0.011672 -0.00162396 12.8926
483000 0.0238775 -0.010215 0.000675388 116.755
484000 0.0239275 -0.00976686 -0.000428934 47.5541
485000 0.0239775 -0.0103085 0.000925679 71.3753
486000 0.0240275 -0.0122858 -0.00108499 41.8525
487000 0.0240775 -0.0151846 0.00351559 -2.96588
488000 0.0241275 -0.0142634 0.0018343 60.0967
489000 0.0241775 -0.0118629 -0.000988403 71.7666
490000 0.0242275 -0.010006 -0.0014409 54.2904
491000 0.0242775 -0.00996788 -0.000986561 8.58477
492000 0.0243275 -0.0140544 0.000846986 46.9663
493000 0.0243775 -0.0136124 0.00174736 34.7048
494000 0.0244275 -0.0156439 0.00229569 32.4789
495000 0.0244775 -0.0140347 0.00098796 26.4753
496000 0.0245275 -0.0122873 0.000296738 -15.1126
497000 0.0245775 -0.0130243 8.35177e-05 30.2237
498000 0.0246275 -0.0178057 0.00337613 50.0558
499000 0.0246775 -0.0175412 0.00348656 -4.17672
500000 0.0247275 -0.00969281 -0.00125362 82.5499
501000 0.0247775 -0.0108866 -0.00507725 -7.99472
502000 0.0248275 -0.0127571 0.000474916 48.8257
503000 0.0248775 -0.0108612 -0.0032911 69.0422
504000 0.0249275 -0.012933 -0.000412689 19.1651
505000 0.0249775 -0.0108434 -0.00139535 47.8738
506000 0.0250275 -0.0110417 -0.00189646 30.7233
